ID,outofhouse,numberpersons150cm,numberpersons150cmspoken,numberpersons5m,outhousework,test,#Survey completions
114767,2.857142857142857,1.0,1.1428571428571428,0.42857142857142855,0.0,1.0,7
114837,1.75,1.875,1.375,0.75,0.0,0.0,8
114939,1.875,1.375,0.625,0.625,0.0,0.0,8
115002,1.6,0.2,0.2,0.8,0.0,0.0,10
115201,1.75,0.25,0.0,1.0,0.0,0.0,8
115487,6.555555555555555,1.2222222222222223,1.2222222222222223,0.8888888888888888,0.0,0.0,9
115719,3.111111111111111,2.0,2.0,0.7777777777777778,0.1111111111111111,0.0,9
115982,2.2857142857142856,6.428571428571429,0.0,1.7142857142857142,0.0,0.0,7
116514,0.9,0.2,0.1,0.5,0.0,0.0,10
116799,6.75,0.25,0.25,0.875,0.625,0.0,8
116846,1.1818181818181819,0.2727272727272727,0.09090909090909091,1.0,0.0,0.0,11
116862,5.5,2.8,0.0,1.2,0.5,0.0,10
117087,2.888888888888889,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.0,9
117101,1.5454545454545454,0.2727272727272727,0.0,0.2727272727272727,0.0,0.0,11
117135,2.4444444444444446,1.2222222222222223,0.0,0.6666666666666666,0.0,1.0,9
117256,4.6,1.5,0.2,1.6,0.0,0.0,10
117538,1.7142857142857142,3.5714285714285716,2.0,1.4285714285714286,0.0,0.0,7
117973,8.636363636363637,2.4545454545454546,1.0909090909090908,1.0,1.0,0.0,11
118159,2.5,0.25,0.25,0.375,0.0,0.0,8
118397,1.7,5.2,1.6,0.9,0.0,0.0,10
118490,0.5,0.5,0.0,0.2,0.0,0.0,10
118856,7.363636363636363,10.0,9.272727272727273,1.8181818181818181,0.5454545454545454,0.0,11
118927,6.571428571428571,0.7142857142857143,0.0,1.2857142857142858,0.7142857142857143,0.0,7
119122,5.444444444444445,2.2222222222222223,2.2222222222222223,1.0,0.0,1.0,9
119352,6.0,0.4444444444444444,0.1111111111111111,0.8888888888888888,0.6666666666666666,0.0,9
119380,7.428571428571429,2.142857142857143,2.142857142857143,0.8571428571428571,0.0,0.0,7
119500,3.3,12.1,9.2,1.4,0.2,0.0,10
119776,2.2,1.0,0.9,0.7,0.0,1.0,10
119997,0.2222222222222222,0.8888888888888888,0.0,0.1111111111111111,0.0,0.0,9
120054,9.0,1.1666666666666667,1.1666666666666667,0.8333333333333334,1.0,0.0,6
120249,2.25,1.5,1.0,0.875,0.0,0.0,8
120508,2.1818181818181817,1.1818181818181819,1.1818181818181819,1.0,0.0,0.0,11
120855,2.111111111111111,2.0,0.0,1.1111111111111112,0.0,0.0,9
120872,3.25,1.25,1.125,0.75,0.625,0.0,8
120999,3.0,1.6666666666666667,1.0,1.0,0.0,1.0,6
121111,1.0909090909090908,0.8181818181818182,0.8181818181818182,0.5454545454545454,0.0,0.0,11
121534,0.7142857142857143,1.4285714285714286,0.14285714285714285,1.0,0.0,0.0,7
121541,1.5714285714285714,4.571428571428571,1.8571428571428572,1.2857142857142858,0.0,0.0,7
121580,4.571428571428571,0.8571428571428571,0.7142857142857143,1.4285714285714286,0.0,0.0,7
122579,5.222222222222222,5.333333333333333,0.0,1.5555555555555556,0.0,0.0,9
122603,5.1,1.6,0.5,1.0,0.1,0.0,10
